"Name","Slug","Product Link (URL)","Original Price (Number)","Sale Price (Number)","Discount (%) (Plain Text)","Shop Name (Plain Text)","Overall Rating (Number)","Main Image ID (Plain Text)"
"50PCS Wood Grain Vinyl Tiles Floor Sticker (91*15CM) Self Adhesive PVC Waterproof Mat Wear-resistant","50pcs-wood-grain-vinyl-tiles-floor-sticker-91-15cm-self-adhesive-pvc-waterproof-mat-wear-resista","https://shopee.ph/product/763579449/22950884178","2000.00","999.00","50%","Timbuktu","4.87","ph-11134207-7rasf-m44aslnwp1pid6"
"Muma Leather Large Woman Shopping Tote Bag With Zipper Shoulder Bags For Women Office bag","muma-leather-large-woman-shopping-tote-bag-with-zipper-shoulder-bags-for-women-office-bag","https://shopee.ph/product/968961649/28876635757","499.00","128.00","74%","  Muma","4.69","ph-11134207-81zti-megj3vwc4mpsdb"
